# PIPELINE DATA
# FITS FILE: CH_PR100010_TG023201_TU2019-10-06T09-40-30_SCI_RAW_SubArray_V0000.fits
# FLATFIELD FILE: CH_PR100010_TG023201_TU2019-10-06T09-40-30_SCI_RAW_SubArray_V0000.fits
# DISPERSION FOR 6 HOURS AVERAGE FOR POINTS [0,60] (ppm): 15.894
# DISPERSION FOR 6 HOURS AVERAGE FOR POINTS [260,320] (ppm): 19.752
# FLUX	BKG_MODE	BKG_MEAN
1.285294151833229885e+07	5.705867363687589489e+01	8.346002728906209711e+01
1.285759408410237730e+07	5.625373108926454790e+01	8.362045807578722645e+01
1.285231760545759276e+07	5.511190047538187287e+01	8.405356626977170720e+01
1.285362488274301589e+07	5.528199237221034679e+01	8.411689735927335221e+01
1.285247696332161874e+07	6.038015804605342396e+01	8.525525622017167393e+01
1.285279645290873386e+07	5.227557985285326936e+01	8.342680453266389407e+01
1.285077518389499187e+07	5.627338992439745624e+01	8.376977420304220345e+01
1.285388154586443491e+07	5.817893336563250983e+01	8.314227389077390740e+01
1.286363254388273694e+07	5.574871163787170758e+01	8.349949622987386988e+01
1.285089487436779961e+07	5.705042385496776092e+01	8.541391148877104911e+01
1.285354807793661207e+07	5.969057281415864225e+01	8.425617856230670100e+01
1.285553863320313767e+07	5.677233357882654730e+01	8.731715046707178374e+01
1.285016693405714072e+07	6.275274977982944336e+01	8.749496161772232483e+01
1.286130024645132199e+07	5.653357423374366419e+01	9.016000827248251426e+01
1.285491732058583200e+07	6.498816098239390726e+01	9.262700512165886835e+01
1.285062802197409049e+07	6.274911502114177608e+01	9.266375843175259774e+01
1.285619352035234310e+07	6.554541622032111547e+01	9.602257623634748995e+01
1.284902320118792541e+07	6.684737553500988838e+01	9.557004747707360082e+01
1.285863915317558870e+07	6.753677401030292060e+01	9.636953045695706521e+01
1.285319890634875558e+07	6.655805680214078279e+01	9.811314897012596248e+01
1.285427971463971213e+07	7.252803004068250914e+01	9.822935317023409141e+01
1.285280778685339540e+07	7.182186077205609820e+01	9.780739022411583505e+01
